,data_points,rmsd,rmpse,spearmans_r,spearmans_p_val,kendalls_tau,kendalls_p_val
9165,1554,6551.07787580036,0.0628040710910455,0.9948823315579016,3.17585263737382e-155,0.9475599669148056,5.405581110702218e-69
5665,1554,6143.581983573964,0.0593723423276586,0.995242686222756,1.1642557878116424e-157,0.9485525227460712,3.9094418728449677e-69
9665,1554,6068.560735703553,0.0591770157787808,0.9944366297355818,1.936637141505136e-152,0.9437551695616212,1.8661310526737152e-68
1665,1554,5827.189865876546,0.0566098320478637,0.9951099239778096,9.645484713312643e-157,0.9475599669148056,5.405581110702218e-69
3665,1554,6540.952469485222,0.0626396108687485,0.9935799971550948,1.1540912035326521e-147,0.9376344086021504,1.3553992353480908e-67
11165,1554,5000.903513213709,0.0494132969043886,0.9937538524758576,1.4028511174193932e-148,0.938626964433416,9.835659612144687e-68
3165,1554,5054.978847279029,0.0493425448029999,0.9942406473739944,2.76436778821664e-151,0.9416046319272128,3.750886701281884e-68
165,1554,5600.984362376421,0.0540702041523221,0.9938360386274911,5.074874012657067e-149,0.9406120760959472,5.174124164566907e-68
7165,1554,5537.47105501303,0.0546585331315507,0.9926980765279512,2.250517311999383e-143,0.9336641852770884,4.871451703423226e-67
14665,1554,6019.734865510292,0.0583531069023825,0.9933334387001944,2.0818190629256586e-146,0.9364764267990074,1.969502765030677e-67
6165,1554,5704.185482222131,0.0559303095941664,0.9952363642110916,1.2893033286511234e-157,0.949048800661704,3.3242681505832766e-69
10665,1554,5287.07034253864,0.0515402441293621,0.9951099239778096,9.645484713312643e-157,0.9475599669148056,5.405581110702218e-69
14165,1554,4798.224744513803,0.0474901305008076,0.995293262316069,5.122187937111663e-158,0.9495450785773366,2.826446299796456e-69
2165,1554,5813.185454446768,0.0565850882234981,0.9934187858576596,7.743853465189667e-147,0.9359801488833748,2.3112567080991082e-67
6665,1554,4834.419304078114,0.0483052605298772,0.99377281851085,1.1107761007852672e-148,0.9409429280397024,4.648207189484314e-68
